試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号,ERP見積番号,見積明細番号,期間開始日
QJ00305529,,,UX14403,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,305529,100,,,8000113897,,2012-11-01
QJ00307543,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,307543,100,,,8000109618,,2012-11-01
QJ00309154,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,309154,100,,,8000105826,,2012-11-01
QJ00313346,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,327816,1800,,,8000109619,,2012-11-01
QJ00313787,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,313787,2600,,,8000116145,,2012-11-01
QJ00314078,,,UX14383,個,1,JPY,0,,2012-11-10,2017-10-31,,60,0,1,314078,200,,,8000116733,,2012-11-01
QJ00314405,,,UX14393,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,358722,600,,,8000116878,,2012-12-01
QJ00314505,,,UX14383,個,1,JPY,0,,2012-10-03,2017-10-02,,60,0,1,314505,200,,,8000116646,,2012-10-03
QJ00317783,,,UX14393,個,1,JPY,0,,2012-10-22,2017-10-21,,60,0,1,326822,2800,,,8000117201,,2012-10-22
QJ00318310,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-30,,60,0,1,331434,1500,,,8000118159,,2012-10-31
QJ00318355,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,333183,1900,,,8000118277,,2012-11-01
QJ00318836,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,371664,100,,,8000117881,,2012-11-01
QJ00319088,,,UX14403,個,1,JPY,0,,2012-11-01,2017-10-30,,60,0,1,319088,200,,,8000116152,,2012-10-31
QJ00319197,,,UX14393,個,1,JPY,0,,2012-10-18,2017-10-17,,60,0,1,368166,100,,,8000112555,,2012-10-18
QJ00319421,,,UX14403,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,332002,1400,,,8000108748,,2012-11-01
QJ00320259,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,335583,1600,,,8000118813,,2012-12-01
QJ00323792,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,323792,200,,,8000120092,,2012-11-01
QJ00324780,,,UX14383,個,1,JPY,0,,2012-10-25,2017-10-30,,60,0,1,324780,200,,,8000120322,,2012-10-31
QJ00325869,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-18,,60,0,1,325869,100,,,8000118236,,2012-10-19
QJ00326037,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-02,,59,0,1,326203,200,,,8000118400,,2012-11-03
QJ00327126,,,UX14393,個,1,JPY,0,,2012-10-29,2017-10-28,,60,0,1,327126,100,,,8000120812,,2012-10-29
QJ00327476,,,UXA40T2,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,334576,2300,,,8000098610,,2012-11-01
QJ00327665,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,327665,200,,,8000121809,,2012-11-01
QJ00327665,,,UX14782,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,327665,300,,,8000121809,,2012-11-01
QJ00329649,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,332479,1300,,,8000121995,,2012-11-01
QJ00331011,,,UXA40T2,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,331011,2400,,,8000123084,,2012-11-01
QJ00332085,,,UX14403,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,332485,200,,,8000123667,,2012-11-01
QJ00332180,,,UXA40T2,個,1,JPY,0,,2012-10-11,2017-10-10,,60,0,1,333241,2800,,,8000122541,,2012-10-11
QJ00332430,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,332430,200,,,8000116763,,2012-11-01
QJ00333967,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,354611,1600,,,8000124577,,2012-11-01
QJ00334412,,,UXA40T2,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,334412,100,,,8000124069,,2012-11-01
QJ00334550,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,345985,2400,,,8000117812,,2012-12-01
QJ00335941,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,336258,100,,,8000125594,,2012-11-01
QJ00335994,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,336268,100,,,8000125542,,2012-11-01
QJ00336251,,,UX14782,個,1,JPY,0,,2012-11-01,2017-10-30,,60,0,1,336251,100,,,8000125075,,2012-10-31
QJ00336313,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-30,,60,0,1,336318,100,,,8000116955,,2012-10-31
QJ00336333,,,UX14383,個,1,JPY,0,,2012-11-07,2017-11-06,,60,0,1,336333,100,,,8000125762,,2012-11-07
QJ00336421,,,UX14403,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,336421,100,,,8000125963,,2012-12-01
QJ00336570,,,UX14383,個,1,JPY,0,,2012-12-01,2017-12-31,,61,0,1,354452,2300,,,8000123038,,2012-12-02
QJ00336571,,,UX14383,個,1,JPY,0,,2012-12-01,2017-12-31,,61,0,1,354449,2300,,,8000123043,,2012-12-02
QJ00337677,,,UX14383,個,1,JPY,0,,2012-11-15,2017-11-14,,60,0,1,337677,200,,,8000118730,,2012-11-15
QJ00338199,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,338199,100,,,8000117104,,2012-12-01
QJ00338205,,,UXA40T3,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,338205,100,,,8000125229,,2012-11-01
QJ00339118,,,UX14383,個,1,JPY,0,,2012-12-01,2017-12-31,,61,0,1,354443,2300,,,8000126381,,2012-12-02
QJ00339456,,,UX14403,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,339456,3100,,,8000121148,,2012-12-01
QJ00339984,,,UX14393,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357841,3300,,,8000126609,,2012-12-01
QJ00340020,,,UX14383,個,1,JPY,0,,2012-11-10,2017-11-09,,60,0,1,340020,100,,,8000126009,,2012-11-10
QJ00340913,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,340913,300,,,8000127746,,2012-11-01
QJ00342138,,,UX14383,個,1,JPY,0,,2012-11-28,2017-10-27,,59,0,1,354819,2500,,,8000126426,,2012-11-28
QJ00343052,,,UX14383,個,1,JPY,0,,2013-01-01,2017-12-31,,60,0,1,373207,1900,,,8000128660,,2013-01-01
QJ00343326,,,UX14383,個,1,JPY,0,,2012-11-22,2017-11-30,,60,0,1,356619,2800,,,8000127954,,2012-12-01
QJ00343807,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357497,2500,,,8000128950,,2012-12-01
QJ00344101,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,344101,200,,,8000129058,,2012-12-01
QJ00344676,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,355115,2300,,,8000129372,,2012-12-01
QJ00345778,,,UX14393,個,1,JPY,0,,2012-11-19,2017-11-18,,60,0,1,345778,100,,,8000129231,,2012-11-19
QJ00346354,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,346354,300,,,8000129180,,2012-11-01
QJ00347050,,,UX14383,個,1,JPY,0,,2013-01-01,2017-12-31,,60,0,1,356083,1700,,,8000127879,,2013-01-01
QJ00347084,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357109,1700,,,8000125372,,2012-12-01
QJ00347256,,,UX14383,個,1,JPY,0,,2012-11-21,2017-11-20,,60,0,1,354401,2300,,,8000130341,,2012-11-21
QJ00347607,,,UX142G2,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,4,347607,200,,,8000128500,,2012-11-01
QJ00347985,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357481,2000,,,8000127123,,2012-12-01
QJ00348919,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,348919,100,,,8000130096,,2012-12-01
QJ00349500,,,UX14383,個,1,JPY,0,,2012-11-21,2017-10-20,,59,0,1,349500,200,,,8000131354,,2012-11-21
QJ00349663,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,351445,100,,,8000110841,,2012-11-01
QJ00350092,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,356112,200,,,8000130855,,2012-12-01
QJ00350620,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,356411,1800,,,8000131517,,2012-12-01
QJ00350762,,,UXA40T2,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,350796,200,,,8000131781,,2012-12-01
QJ00350878,,,UX14383,個,1,JPY,0,,2012-12-03,2017-12-02,,60,0,1,352502,200,,,8000132040,,2012-12-03
QJ00350992,,,UX14383,個,1,JPY,0,,2012-12-10,2017-12-09,,60,0,1,364612,2000,,,8000130619,,2012-12-10
QJ00352016,,,UX14383,個,1,JPY,0,,2012-11-23,2017-11-21,,60,0,1,352016,200,,,8000129054,,2012-11-22
QJ00352345,,,UX14383,個,1,JPY,0,,2012-12-13,2017-12-12,,60,0,1,376534,1400,,,8000132262,,2012-12-13
QJ00352448,,,UX14393,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357491,3400,,,8000130919,,2012-12-01
QJ00353462,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,369345,1800,,,8000128288,,2012-12-01
QJ00353528,,,UXA40T2,個,1,JPY,0,,2013-01-01,2017-12-31,,60,0,1,372009,2300,,,8000133164,,2013-01-01
QJ00353654,,,UX14383,個,1,JPY,0,,2012-11-26,2017-11-25,,60,0,1,356005,200,,,8000133172,,2012-11-26
QJ00353706,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,353706,100,,,8000130994,,2012-12-01
QJ00354129,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,366324,1100,,,8000128140,,2012-12-01
QJ00354441,,,UX14403,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,354891,200,,,8000133572,,2012-12-01
QJ00356199,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,356199,100,,,8000133915,,2012-12-01
QJ00356265,,,UX14383,個,1,JPY,0,,2012-12-07,2017-11-06,,59,0,1,380598,1900,,,8000133829,,2012-12-07
QJ00356593,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,356593,100,,,8000134536,,2012-12-01
QJ00356681,,,UX14403,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357485,2500,,,8000134431,,2012-12-01
QJ00356878,,,UX14393,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357198,200,,,8000133863,,2012-12-01
QJ00356924,,,UX14383,個,1,JPY,0,,2012-11-28,2017-11-27,,60,0,1,356924,200,,,8000116650,,2012-11-28
QJ00357588,,,UX14383,個,1,JPY,0,,2012-12-01,2017-11-30,,60,0,1,357588,100,,,8000130055,,2012-12-01
QJ00358323,,,UX14403,個,1,JPY,0,,2012-12-01,2017-10-31,,59,0,1,358483,100,,,8000134579,,2012-12-02
QJ00433183,,,UX142E2,個,1,JPY,0,,2013-03-29,2018-03-28,,60,0,1,447072,300,,,8000168861,,2013-03-29
QJ00437121,,,UX142G2,個,1,JPY,0,,2017-03-28,2018-03-27,,12,12,1,447473,700,,,8000170340,,2017-03-28
QJ00437121,,,UX14293,個,1,JPY,0,,2017-03-28,2018-03-27,,12,12,1,447473,1200,,,8000170340,,2017-03-28
QJ00437121,,,UX14373,個,1,JPY,0,,2014-03-28,2018-03-27,,48,0,1,447473,1600,,,8000170340,,2014-03-28
QJ00439145,,,UX14233,個,1,JPY,0,,2013-04-01,2018-03-31,,60,0,1,446779,3900,,,8000171542,,2013-04-01
QJ00439145,,,UX14253,個,1,JPY,0,,2013-04-01,2018-03-31,,60,0,1,446779,4000,,,8000171542,,2013-04-01
QJ00439145,,,UX14253,個,1,JPY,0,,2013-04-01,2018-03-31,,60,0,1,446779,4100,,,8000171542,,2013-04-01
QJ00515979,,,UX142E2,個,1,JPY,0,,2017-06-01,2018-05-31,,12,12,1,516407,500,,,8000205560,,2017-06-01
QJ00520081,,,UX14413,個,1,JPY,0,,2014-07-16,2018-07-15,,48,0,1,533397,3100,,,8000205041,,2014-07-16
QJ00520083,,,UX142E2,個,1,JPY,0,,2013-07-09,2018-07-08,,60,0,1,526510,800,,,8000207134,,2013-07-09
QJ00528496,,,UX14413,個,1,JPY,0,,2014-06-19,2018-06-18,,48,0,1,528678,400,,,8000210187,,2014-06-19
QJ00542635,,,UX142H2,個,1,JPY,0,,2013-07-01,2017-10-31,,52,0,1,542645,200,,,8000216106,,2013-07-02
QJ00542635,,,UX142E2,個,1,JPY,0,,2013-07-01,2017-10-31,,52,0,1,542645,300,,,8000216106,,2013-07-02
QJ00549879,,,UX141J3,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,549979,200,,,8000220283,,2013-09-01
QJ00549879,,,UX141G3,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,549979,300,,,8000220283,,2013-09-01
QJ00550569,,,UX142J2,個,1,JPY,0,,2013-07-01,2018-06-30,,60,0,1,550569,400,,,8000212155,,2013-07-01
QJ00550569,,,UX142E2,個,1,JPY,0,,2013-07-01,2018-06-30,,60,0,1,550569,500,,,8000212155,,2013-07-01
QJ00560212,,,UX141X3,個,1,JPY,0,,2013-08-01,2018-07-31,,60,0,1,560212,200,,,8000221874,,2013-08-01
QJ00560212,,,UX142C3,個,50,JPY,0,,2013-08-01,2018-07-31,,60,0,1,560212,300,,,8000221874,,2013-08-01
QJ00560212,,,UX142D3,個,100,JPY,0,,2013-08-01,2018-07-31,,60,0,1,560212,400,,,8000221874,,2013-08-01
QJ00560212,,,UX141G3,個,1,JPY,0,,2013-08-01,2018-07-31,,60,0,1,560212,500,,,8000221874,,2013-08-01
QJ00577237,,,UX142K3,個,1,JPY,0,,2013-10-01,2018-09-30,,60,0,1,587285,400,,,8000231984,,2013-10-01
QJ00577237,,,UX142M3,個,1,JPY,0,,2013-10-01,2018-09-30,,60,0,1,587285,500,,,8000231984,,2013-10-01
QJ00577237,,,UX142N3,個,10,JPY,0,,2013-10-01,2018-09-30,,60,0,1,587285,600,,,8000231984,,2013-10-01
QJ00577237,,,UX141G3,個,1,JPY,0,,2013-10-01,2018-09-30,,60,0,1,587285,700,,,8000231984,,2013-10-01
QJ00581489,,,UX142E2,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,581489,1000,,,8000233081,,2013-09-01
QJ00581489,,,UX142E2,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,581489,1100,,,8000233081,,2013-09-01
QJ00581489,,,UX142E2,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,581489,1200,,,8000233081,,2013-09-01
QJ00581489,,,UX142E2,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,581489,1300,,,8000233081,,2013-09-01
QJ00581489,,,UX142E2,個,1,JPY,0,,2013-09-01,2018-08-31,,60,0,1,581489,1400,,,8000233081,,2013-09-01
QJ00582925,,,UX142K3,個,1,JPY,0,,2013-10-10,2018-10-09,,60,0,1,594351,1300,,,8000232948,,2013-10-10
QJ00582925,,,UX142M3,個,1,JPY,0,,2013-10-10,2018-10-09,,60,0,1,594351,1400,,,8000232948,,2013-10-10
QJ00582925,,,UX142N3,個,10,JPY,0,,2013-10-10,2018-10-09,,60,0,1,594351,1500,,,8000232948,,2013-10-10
QJ00582925,,,UX141G3,個,1,JPY,0,,2013-10-10,2018-10-09,,60,0,1,594351,1600,,,8000232948,,2013-10-10
QJ00584775,,,UX142F2,個,1,JPY,0,,2014-04-01,2019-03-31,,60,0,1,588180,9300,,,8000236623,,2014-04-01
QJ00584775,,,UX142F2,個,1,JPY,0,,2014-04-01,2019-03-31,,60,0,1,588180,9400,,,8000236623,,2014-04-01
QJ00584775,,,UX142F2,個,1,JPY,0,,2014-04-01,2019-03-31,,60,0,1,588180,9500,,,8000236623,,2014-04-01
QJ00584775,,,UX142F2,個,1,JPY,0,,2014-04-01,2019-03-31,,60,0,1,588180,9600,,,8000236623,,2014-04-01
QJ00584775,,,UX142F2,個,1,JPY,0,,2014-04-01,2019-03-31,,60,0,1,588180,9700,,,8000236623,,2014-04-01
QJ00584775,,,UX142F2,個,1,JPY,0,,2014-04-01,2019-03-31,,60,0,1,588180,9800,,,8000236623,,2014-04-01
QJ00586308,,,UX142E2,個,1,JPY,0,,2014-10-01,2018-09-30,,48,0,1,587245,100,,,8000237483,,2014-10-01
QJ00589793,,,UX142K3,個,1,JPY,0,,2013-12-01,2018-12-30,,61,0,1,595255,2600,,,8000238063,,2013-12-01
QJ00589793,,,UX143T3,個,30,JPY,0,,2013-12-01,2018-12-30,,61,0,1,595255,2700,,,8000238063,,2013-12-01
QJ00589793,,,UX144V3,個,20,JPY,0,,2013-12-01,2018-12-30,,61,0,1,595255,2800,,,8000238063,,2013-12-01
QJ00589793,,,UX144U3,個,5,JPY,0,,2013-12-01,2018-12-30,,61,0,1,595255,2900,,,8000238063,,2013-12-01
QJ00589793,,,UX141G3,個,1,JPY,0,,2013-12-01,2018-12-30,,61,0,1,595255,3000,,,8000238063,,2013-12-01
QJ00592714,,,UX14782,個,1,JPY,0,,2013-11-01,2018-10-31,,60,0,1,592714,100,,,8000239354,,2013-11-01
QJ00611401,,,UX14003,個,50,JPY,0,,2014-01-01,2018-12-31,,60,0,1,611401,900,,,8000245037,,2014-01-01
QJ00612942,,,UX142K3,個,1,JPY,0,,2013-11-01,2018-10-31,,60,0,1,613772,300,,,8000240845,,2013-11-01
QJ00612942,,,UX143V3,個,50,JPY,0,,2013-11-01,2018-10-31,,60,0,1,613772,400,,,8000240845,,2013-11-01
QJ00612942,,,UX144W3,個,30,JPY,0,,2013-11-01,2018-10-31,,60,0,1,613772,500,,,8000240845,,2013-11-01
QJ00612942,,,UX141G3,個,1,JPY,0,,2013-11-01,2018-10-31,,60,0,1,613772,600,,,8000240845,,2013-11-01
QJ00619076,,,UX143S3,個,20,JPY,0,,2013-11-18,2018-10-31,,59,0,1,619964,100,,,8000251683,,2013-12-02
QJ00619907,,,UX14413,個,1,JPY,0,,2013-11-01,2017-10-31,,48,0,1,619907,400,,,8000251056,,2013-11-01
QJ00628615,,,UX142K3,個,1,JPY,0,,2014-01-01,2018-12-31,,60,0,1,628615,200,,,8000248874,,2014-01-01
QJ00628615,,,UX143U3,個,40,JPY,0,,2014-01-01,2018-12-31,,60,0,1,628615,300,,,8000248874,,2014-01-01
QJ00628615,,,UX143R3,個,5,JPY,0,,2014-01-01,2018-12-31,,60,0,1,628615,400,,,8000248874,,2014-01-01
QJ00628615,,,UX144Y3,個,50,JPY,0,,2014-01-01,2018-12-31,,60,0,1,628615,500,,,8000248874,,2014-01-01
QJ00628615,,,UX141G3,個,1,JPY,0,,2014-01-01,2018-12-31,,60,0,1,628615,600,,,8000248874,,2014-01-01
QJ00645169,,,UX14413,個,1,JPY,0,,2014-01-01,2017-12-31,,48,0,1,645352,100,,,8000264103,,2014-01-01
QJ00645217,,,UX14413,個,1,JPY,0,,2013-12-01,2017-11-30,,48,0,1,645217,400,,,8000263356,,2013-12-01
QJ00647702,,,UX142K3,個,1,JPY,0,,2013-12-01,2018-11-30,,60,0,1,652330,1500,,,8000262730,,2013-12-01
QJ00647702,,,UX143W3,個,200,JPY,0,,2013-12-01,2018-11-30,,60,0,1,652330,1600,,,8000262730,,2013-12-01
QJ00647702,,,UX141G3,個,1,JPY,0,,2013-12-01,2018-11-30,,60,0,1,652330,1700,,,8000262730,,2013-12-01
QJ00650135,,,UX142E2,個,1,JPY,0,,2014-01-01,2017-12-31,,48,0,1,650135,1000,,,8000266284,,2014-01-01
QJ00652398,,,UX142E2,個,1,JPY,0,,2014-01-01,2017-12-31,,48,0,1,652398,500,,,8000267828,,2014-01-01
QJ00652398,,,UX14413,個,1,JPY,0,,2014-01-01,2017-12-31,,48,0,1,652398,600,,,8000267828,,2014-01-01
QJ00660618,,,UX142E2,個,1,JPY,0,,2015-01-01,2019-12-31,,60,0,1,660618,900,,,8000270257,,2015-01-01
QJ00661300,,,UX142K3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,1800,,,8000269960,,2014-03-01
QJ00661300,,,UX144A3,個,500,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,1900,,,8000269960,,2014-03-01
QJ00661300,,,UX14005,個,200,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,2000,,,8000269960,,2014-03-01
QJ00661300,,,UX141G3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,2100,,,8000269960,,2014-03-01
QJ00661300,,,UX142G2,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,2300,,,8000269960,,2014-03-01
QJ00661300,,,UX14293,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,2400,,,8000269960,,2014-03-01
QJ00661300,,,UX142K3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,4300,,,8000269960,,2014-03-01
QJ00661300,,,UX143U3,個,40,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,4400,,,8000269960,,2014-03-01
QJ00661300,,,UX144X3,個,40,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,4500,,,8000269960,,2014-03-01
QJ00661300,,,UX141G3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,4600,,,8000269960,,2014-03-01
QJ00661300,,,UX142K3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,5900,,,8000269960,,2014-03-01
QJ00661300,,,UX143U3,個,40,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,6000,,,8000269960,,2014-03-01
QJ00661300,,,UX144X3,個,40,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,6100,,,8000269960,,2014-03-01
QJ00661300,,,UX141G3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,686410,6200,,,8000269960,,2014-03-01
QJ00662004,,,UX14413,個,1,JPY,0,,2014-02-01,2018-01-31,,48,0,1,662004,500,,,8000272275,,2014-02-01
QJ00667202,,,UX14413,個,1,JPY,0,,2014-01-01,2017-12-31,,48,0,1,667631,100,,,8000274915,,2014-01-01
QJ00669263,,,UX14413,個,1,JPY,0,,2014-02-01,2018-01-31,,48,0,1,670126,100,,,8000275952,,2014-02-01
QJ00669366,,,UX14413,個,1,JPY,0,,2014-02-01,2018-01-31,,48,0,1,669366,800,,,8000226047,,2014-02-01
QJ00670439,,,UX141G3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,673638,900,,,8000269234,,2014-03-01
QJ00670439,,,UX142K3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,673638,1000,,,8000269234,,2014-03-01
QJ00670439,,,UX143S3,個,20,JPY,0,,2014-03-01,2019-02-28,,60,0,1,673638,1100,,,8000269234,,2014-03-01
QJ00670439,,,UX143P3,個,3,JPY,0,,2014-03-01,2019-02-28,,60,0,1,673638,1200,,,8000269234,,2014-03-01
QJ00670439,,,UX144W3,個,30,JPY,0,,2014-03-01,2019-02-28,,60,0,1,673638,1300,,,8000269234,,2014-03-01
QJ00674659,,,UX142E2,個,1,JPY,0,,2017-01-01,2017-12-31,,12,12,1,674659,500,,,8000272402,,2017-01-01
QJ00674659,,,UX142E2,個,1,JPY,0,,2018-01-01,2018-12-31,,12,12,1,674659,600,,,8000272402,,2018-01-01
QJ00678487,,,UX142K3,個,1,JPY,0,,2014-02-20,2019-02-19,,60,0,1,690983,2400,,,8000266727,,2014-02-20
QJ00678487,,,UX143U3,個,40,JPY,0,,2014-02-20,2019-02-19,,60,0,1,690983,2500,,,8000266727,,2014-02-20
QJ00678487,,,UX141G3,個,1,JPY,0,,2014-02-20,2019-02-19,,60,0,1,690983,2600,,,8000266727,,2014-02-20
QJ00681272,,,UX143S3,個,20,JPY,0,,2014-02-14,2019-02-13,,60,0,1,692175,100,,,8000280406,,2014-02-14
QJ00681272,,,UX142K3,個,1,JPY,0,,2014-02-14,2019-02-13,,60,0,1,692175,200,,,8000280406,,2014-02-14
QJ00681708,,,UX14413,個,1,JPY,0,,2014-02-01,2018-01-31,,48,0,1,681708,400,,,8000279825,,2014-02-01
QJ00682639,,,UX142K3,個,1,JPY,0,,2014-03-01,2019-02-28,,60,0,1,718166,1200,,,8000281934,,2014-03-01
QJ00682639,,,UX143T3,個,30,JPY,0,,2014-03-01,2019-02-28,,60,0,1,718166,1300,,,8000281934,,2014-03-01
